id,country,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,longitude,latitude,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
175,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,784,ORANG,2017
16,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,812730,ORANG,2014
67,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,116,ORANG,2015
121,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,116,ORANG,2016
122,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1189102,ORANG,2016
15,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,49,ORANG,2014
68,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1189102,ORANG,2015
179,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2017
72,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,71353,ORANG,2015
261,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,699787,ORANG,2019
126,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,443001,ORANG,2016
125,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,1500,ORANG,2016
260,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,1548,ORANG,2019
314,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2020
180,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,200226,ORANG,2017
20,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,135560,ORANG,2014
224,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,230591,ORANG,2018
315,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,375000,ORANG,2020
71,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2015
19,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,10,ORANG,2014
87,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,0,ORANG,2015
331,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3939992,ORANG,2020
330,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,514,ORANG,2020
141,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,10344,ORANG,2016
142,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,1824367,ORANG,2016
195,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,8689,ORANG,2017
196,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,2528273,ORANG,2017
232,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3571,ORANG,2018
276,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,12233,ORANG,2019
277,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3215063,ORANG,2019
88,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,0,ORANG,2015
134,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,1957194,ORANG,2016
79,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,973,ORANG,2015
80,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,996268,ORANG,2015
228,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,5755896,ORANG,2018
